stage,job_script,k_l,paper_Lambda,code_lambda_4,seed_omega,psi0,N,dr_dz,outer_radius,scale_next,paper_Mmax,paper_omega,notes
free,hpc/run_free.slurm,1,0,0,0.95,1.000e-2,256,0.0625,16,1.03,,,Free rotating branch and homotopy source.
free,hpc/run_free.slurm,2,0,0,0.95,2.060e-3,256,0.0625,16,1.025,,,Free rotating branch and homotopy source.
free,hpc/run_free.slurm,3,0,0,0.95,3.270e-4,256,0.125,32,1.02,,,Free rotating branch and homotopy source.
free,hpc/run_free.slurm,4,0,0,0.95,4.380e-5,256,0.125,32,1.015,,,Free rotating branch and homotopy source.
homotopy-low,hpc/run_quartic_homotopy_low.slurm,1-4,"1;2;5;10;20;40;60;80;100",4*pi*Lambda,from_previous,from_previous,per_l,per_l,per_l,1.0,,,Fixed-field coupling continuation with checkpoints.
homotopy-high,hpc/run_quartic_homotopy_high.slurm,1-4,"120;140;160;180;200",4*pi*Lambda,from_previous,from_previous,per_l,per_l,per_l,1.0,,,Fixed-field coupling continuation with checkpoints.
quartic-target,hpc/run_quartic.slurm,1,200,2513.2741228718345,from_checkpoint,from_checkpoint,256,0.0625,16,1.03,3.48,0.82,Grandclement et al. 2014 Table II comparison.
quartic-target,hpc/run_quartic.slurm,2,200,2513.2741228718345,from_checkpoint,from_checkpoint,256,0.0625,16,1.025,4.08,0.80,Grandclement et al. 2014 Table II comparison.
quartic-target,hpc/run_quartic.slurm,3,200,2513.2741228718345,from_checkpoint,from_checkpoint,256,0.125,32,1.02,4.81,0.78,Grandclement et al. 2014 Table II comparison.
quartic-target,hpc/run_quartic.slurm,4,200,2513.2741228718345,from_checkpoint,from_checkpoint,256,0.125,32,1.015,5.59,0.76,Grandclement et al. 2014 Table II comparison.
